> Output metrics for KIDSpec Simulation of object HD212442

Date run: 2022-03-18 13:43:12.343002 

> Input Parameters for simulation and instrument: 

Telescope mirror diameter: 800 cm 
Exposure time: 60 s 
Seeing: 0.8 arcseconds 
Airmass: 1.5 

Slit width: 0.60 arcseconds 
Slit length: 0.60 arcseconds 
Slicers: 1 

KIDSpec grating incidence angle: 25.0 deg 
KIDSpec grating blaze angle: 25.0 deg 
KIDSpec grating grooves: 241.5 /mm 

Number of spectral pixels in each arm: 3200 
Pixel plate scale: 0.3 
Chosen MKID energy resolution at fiducial point: 30 
Number of dead spectal pixels in KIDSpec: 0 
MKID energy resolution at fiducial point standard deviation for KIDSpec: 0.00 

Simulation spectrum magnitudes:
U --> N/A 
B --> 7.944673698523132 
V --> 7.383696992299125 
R --> 7.277971990081985 
I --> 7.283960993379061 
Z --> 7.16397736429389 
Y --> 7.1436008017933625 
J --> 6.522886588640718 
H --> N/A 
K --> N/A 
L --> N/A 
M --> N/A 
N --> N/A 
Q --> N/A 
Flux reduced by factor of 1.00000
Spectrum redshifted by 0.000

> Result parameters: 

OPT orders observed: 10 
IR orders observed: 1 
 
Wavelength range tested: 350 - 1900 nm 
Recreated spectrum resolution: 4278 - 5878 
Recreated spectrum resolution average: 5078 +/- 799 
Average residuals: (7.374 +/- 2.591)% 
R value: 0.965 
Average SNR: 1087.200 +/- 0.000 
Percentage of photons which were misidentified (total): 0.00017873
Percentage of photons which were misidentified (average per pixel): 0.00000966

Simulation run duration: 0:06:34.201312 (hours:minutes:seconds)

Saturated pixels in OPT/Single arm:
Pixel Number 1 :   4343998 / 60000 photons
Pixel Number 2 :   4470211 / 60000 photons
Pixel Number 3 :   4562375 / 60000 photons
Pixel Number 4 :   4312288 / 60000 photons
Pixel Number 5 :   4615500 / 60000 photons
Pixel Number 6 :   4181933 / 60000 photons
Pixel Number 7 :   4544273 / 60000 photons
Pixel Number 8 :   4301677 / 60000 photons
Pixel Number 9 :   4315179 / 60000 photons
Pixel Number 10 :   4488919 / 60000 photons
Pixel Number 11 :   4691131 / 60000 photons
Pixel Number 12 :   4479722 / 60000 photons
Pixel Number 13 :   4582843 / 60000 photons
Pixel Number 14 :   4511704 / 60000 photons
Pixel Number 15 :   4489275 / 60000 photons
Pixel Number 16 :   4127144 / 60000 photons
Pixel Number 17 :   4559681 / 60000 photons
Pixel Number 18 :   4100496 / 60000 photons
Pixel Number 19 :   4582777 / 60000 photons
Pixel Number 20 :   4572329 / 60000 photons
Pixel Number 21 :   4596407 / 60000 photons
Pixel Number 22 :   4705083 / 60000 photons
Pixel Number 23 :   4399905 / 60000 photons
Pixel Number 24 :   4570004 / 60000 photons
Pixel Number 25 :   4261884 / 60000 photons
Pixel Number 26 :   4554159 / 60000 photons
Pixel Number 27 :   4502687 / 60000 photons
Pixel Number 28 :   4691641 / 60000 photons
Pixel Number 29 :   4682131 / 60000 photons
Pixel Number 30 :   4789750 / 60000 photons
Pixel Number 31 :   4569151 / 60000 photons
Pixel Number 32 :   4757145 / 60000 photons
Pixel Number 33 :   4568295 / 60000 photons
Pixel Number 34 :   4828212 / 60000 photons
Pixel Number 35 :   4636051 / 60000 photons
Pixel Number 36 :   4550872 / 60000 photons
Pixel Number 37 :   4639744 / 60000 photons
Pixel Number 38 :   4691446 / 60000 photons
Pixel Number 39 :   4547440 / 60000 photons
Pixel Number 40 :   4751075 / 60000 photons
Pixel Number 41 :   4621833 / 60000 photons
Pixel Number 42 :   4814854 / 60000 photons
Pixel Number 43 :   4516453 / 60000 photons
Pixel Number 44 :   4721069 / 60000 photons
Pixel Number 45 :   4642897 / 60000 photons
Pixel Number 46 :   4497185 / 60000 photons
Pixel Number 47 :   4526834 / 60000 photons
Pixel Number 48 :   4838796 / 60000 photons
Pixel Number 49 :   4646007 / 60000 photons
Pixel Number 50 :   4836533 / 60000 photons
Pixel Number 51 :   4727116 / 60000 photons
Pixel Number 52 :   4608580 / 60000 photons
Pixel Number 53 :   4799569 / 60000 photons
Pixel Number 54 :   4794615 / 60000 photons
Pixel Number 55 :   4844080 / 60000 photons
Pixel Number 56 :   4905518 / 60000 photons
Pixel Number 57 :   4715374 / 60000 photons
Pixel Number 58 :   4909750 / 60000 photons
Pixel Number 59 :   4796260 / 60000 photons
Pixel Number 60 :   4831928 / 60000 photons
Pixel Number 61 :   4723366 / 60000 photons
Pixel Number 62 :   4781992 / 60000 photons
Pixel Number 63 :   4811916 / 60000 photons
Pixel Number 64 :   4908836 / 60000 photons
Pixel Number 65 :   4799050 / 60000 photons
Pixel Number 66 :   4910595 / 60000 photons
Pixel Number 67 :   4680551 / 60000 photons
Pixel Number 68 :   4859909 / 60000 photons
Pixel Number 69 :   4883521 / 60000 photons
Pixel Number 70 :   4886860 / 60000 photons
Pixel Number 71 :   4896538 / 60000 photons
Pixel Number 72 :   4993427 / 60000 photons
Pixel Number 73 :   4820847 / 60000 photons
Pixel Number 74 :   4992183 / 60000 photons
Pixel Number 75 :   4895639 / 60000 photons
Pixel Number 76 :   5024192 / 60000 photons
Pixel Number 77 :   4933391 / 60000 photons
Pixel Number 78 :   4948590 / 60000 photons
Pixel Number 79 :   4948855 / 60000 photons
Pixel Number 80 :   5040202 / 60000 photons
Pixel Number 81 :   4841865 / 60000 photons
Pixel Number 82 :   5059280 / 60000 photons
Pixel Number 83 :   4850709 / 60000 photons
Pixel Number 84 :   5043604 / 60000 photons
Pixel Number 85 :   4940753 / 60000 photons
Pixel Number 86 :   5028085 / 60000 photons
Pixel Number 87 :   4982965 / 60000 photons
Pixel Number 88 :   5030625 / 60000 photons
Pixel Number 89 :   4857150 / 60000 photons
Pixel Number 90 :   5106404 / 60000 photons
Pixel Number 91 :   4912359 / 60000 photons
Pixel Number 92 :   4993666 / 60000 photons
Pixel Number 93 :   5096816 / 60000 photons
Pixel Number 94 :   4915987 / 60000 photons
Pixel Number 95 :   5117463 / 60000 photons
Pixel Number 96 :   5099698 / 60000 photons
Pixel Number 97 :   5048206 / 60000 photons
Pixel Number 98 :   5025194 / 60000 photons
Pixel Number 99 :   5040219 / 60000 photons
Pixel Number 100 :   5053426 / 60000 photons
Pixel Number 101 :   5147371 / 60000 photons
Pixel Number 102 :   4940805 / 60000 photons
Pixel Number 103 :   5151857 / 60000 photons
Pixel Number 104 :   4968680 / 60000 photons
Pixel Number 105 :   5164942 / 60000 photons
Pixel Number 106 :   5062229 / 60000 photons
Pixel Number 107 :   5131466 / 60000 photons
Pixel Number 108 :   5084193 / 60000 photons
