#catalog  l/mm  blaze  wid hei  overstock
182E, 13.33, 80.7, 198, 412, Yes
412E, 23.2, 63, 154, 306, Yes
419E, 24.35, 70, 97, 102, Yes
413E, 27, 70, 64, 153,
411E, 31.6, 63.9, 204, 408, Yes
453E, 31.6, 71, 308, 408,
414E, 31.6, 75, 154, 313, Yes
303E, 31.6, 76, 310, 413,
174E, 31.6, 76, 200, 400,
425E, 41.59, 76, 204, 410,
418E, 44.41, 70, 101, 103,
407E, 46.1, 32, 102, 102,
292E, 48.39, 68.2, 130, 206,
275E, 50.7, 64.2, 154, 306,
422E, 52.13, 32, 102, 102,
415E, 52.67, 63.5, 128, 254,
424E, 52.67, 65, 204, 410,
417E, 52.67, 69, 204, 408, Yes
053E, 52.91, 64, 102, 102, Yes
416E, 54.49, 46, 102, 102, Yes
153E, 62, 41.65, 154, 184,
454E, 72, 44, 95, 90, Yes
408E, 79, 62, 210, 411,
401E, 79, 63, 204, 408, Yes
402E, 79, 74, 128, 254, Yes
406E, 85.84, 76, 128, 254,
127E, 87, 63, 308, 413, Yes
291E, 91.7, 58.9, 154, 208,
488E, 94.74, 44, 104, 104, Yes
304E, 97.11, 56, 102, 102,
403E, 98.7, 63, 154, 206,
002E, 101.95, 45, 100, 100,
121E, 110, 64, 310, 413,
071E, 112.96, 79, 128, 258, Yes
084E, 117.94, 79, 128, 258,
187E, 124.93, 66, 154, 206,
141E, 154.51, 76, 128, 260,
404E, 158, 63, 127, 203,
405E, 158, 70, 128, 256, Yes
420E, 171.66, 78, 102, 102, Yes
149E, 180, 41.8, 154, 206,
451E, 316, 63, 204, 408, Yes
452E, 316, 70, 128, 256, Yes
