obs_wl_air(nm),intens,Aki(s^-1),Acc,Type,
"=""400.072""","=""2""","=""""",,,
"=""402.803""","=""1""","=""""",,,
"=""402.966""","=""2*""","=""""",,,
"=""402.966""","=""2*""","=""""",,,
"=""405.657""","=""3""","=""""",,,
"=""408.690""","=""2""","=""""",,,
"=""409.784""","=""1""","=""""",,,
"=""410.843""","=""3""","=""""",,,
"=""416.448""","=""2""","=""""",,,
"=""416.728""","=""5d*""","=""""",,,
"=""416.728""","=""5d*""","=""""",,,
"=""417.283""","=""3""","=""""",,,
"=""418.44726""","=""20""","=""""",,,
"=""426.32856""","=""20""","=""""",,,
"=""427.396943""","=""1000""","=""1.99e+06""",C+,,
"=""428.296734""","=""100""","=""1.77e+05""",C+,,
"=""428.648687""","=""40""","=""1.00e+06""",C,,
"=""428.802""","=""5""","=""""",,,
"=""429.264""","=""6""","=""""",,,
"=""430.048652""","=""50""","=""5.33e+05""",C,,
"=""430.24455""","=""10""","=""""",,,
"=""431.85524""","=""400""","=""5.13e+05""",C,,
"=""431.95795""","=""1000""","=""1.25e+06""",C,,
"=""435.135969""","=""100""","=""2.22e+06""",C+,,
"=""436.264157""","=""500""","=""4.28e+05""",B,,
"=""437.612159""","=""800""","=""3.74e+06""",C+,,
"=""439.996634""","=""200""","=""1.26e+06""",C+,,
"=""441.03681""","=""50""","=""2.80e+05""",C+,,
"=""441.239""","=""6""","=""""",,,
"=""441.68838""","=""20""","=""""",,,
"=""441.87613""","=""50""","=""""",,,
"=""442.519007""","=""100""","=""6.05e+05""",C+,,
"=""445.391749""","=""600""","=""3.97e+05""",B,,
"=""446.369000""","=""800""","=""1.181e+06""",B,,
"=""450.235427""","=""600""","=""7.8e+05""",C,,
"=""453.806""","=""3""","=""""",,,
"=""455.02985""","=""40""","=""7.3e+03""",D,,
"=""458.297""","=""4""","=""""",,,
"=""463.614""","=""20""","=""""",,,
"=""467.161""","=""10""","=""""",,,
"=""467.716""","=""1""","=""""",,,
"=""469.484""","=""4""","=""""",,,
"=""472.489""","=""20""","=""""",,,
"=""481.26367""","=""40""","=""""",,,
"=""486.184""","=""2h""","=""""",,,
"=""486.491""","=""2h""","=""""",,,
"=""486.724""","=""1h""","=""""",,,
"=""491.039""","=""2""","=""""",,,
"=""493.038""","=""4h""","=""""",,,
"=""493.448""","=""4h""","=""""",,,
"=""493.838""","=""2h""","=""""",,,
"=""495.527""","=""15""","=""""",,,
"=""496.908""","=""20""","=""""",,,
"=""496.936""","=""15""","=""""",,,
"=""500.214""","=""2""","=""""",,,
"=""502.915""","=""5""","=""""",,,
"=""504.034""","=""7""","=""""",,,
"=""504.774""","=""1*""","=""""",,,
"=""504.774""","=""1*""","=""""",,,
"=""505.808""","=""4""","=""""",,,
"=""508.912""","=""2h""","=""""",,,
"=""509.036""","=""1h""","=""""",,,
"=""510.981""","=""2""","=""""",,,
"=""513.99""","=""1""","=""""",,,
"=""514.27""","=""4""","=""""",,,
"=""514.504""","=""2h""","=""""",,,
"=""514.539""","=""1h""","=""""",,,
"=""516.773""","=""1""","=""""",,,
"=""516.806""","=""4""","=""""",,,
"=""517.236""","=""2""","=""""",,,
"=""519.782""","=""1h""","=""""",,,
"=""519.897""","=""1""","=""""",,,
"=""521.241""","=""1""","=""""",,,
"=""521.58179""","=""8""","=""""",,,
"=""521.778""","=""1""","=""""",,,
"=""521.884""","=""1""","=""""",,,
"=""522.238""","=""3""","=""""",,,
