obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,Type,
401.3752,0.0020,10,,,,
401.3995,0.0020,20,,,,
402.0015,0.0020,20,,,,
403.7262,0.0020,50,,,,
403.7615,0.0020,150,,,,
403.7696,0.0020,50,,,,
404.2327,0.0020,100,,,,
404.2642,0.0020,500,,,,
404.5662,0.0020,20,,,,
406.4036,0.0020,500,,,,
406.4829,0.0020,150,,,,
406.8835,0.0020,300,,,,
406.9243,0.0020,300,,,,
406.9389,0.0020,50,,,,
407.9359,0.0020,20,,,,
408.0148,0.0020,500,,,,
411.1882,0.0020,10,,,,
411.2100,0.0020,150,,,,
411.2694,0.0020,200,,,,
411.2865,0.0020,100,,,,
412.6941,0.0020,20,,,,
412.8072,0.0020,300,,,,
413.0512,0.0020,200,,,,
413.10613,0.00020,700,,,,
416.48079,0.00020,500,,,,
416.6091,0.0020,300,,,,
417.3966,0.0020,20,,,,
417.43667,0.00020,700,,,,
417.52197,0.00020,600,,,,
417.5488,0.0020,400,,,,
419.6415,0.0020,150,,,,
419.81018,0.00020,700,,,,
420.3270,0.0020,20,,,,
420.3270,0.0020,20,,,,
420.3270,0.0020,20,,,,
423.2323,0.0020,10,,,,
424.9538,0.0020,20,,,,
425.2418,0.0020,20,,,,
425.2775,0.0020,20,,,,
425.6498,0.0020,20,,,,
425.6498,0.0020,20,,,,
425.9739,0.0020,10,,,,
426.2479,0.0020,20,,,,
426.7286,0.0020,10,,,,
426.7724,0.0020,50,,,,
426.80086,0.00020,700,,,,
426.97223,0.00020,700,,,,
427.02252,0.00020,500,,,,
427.46617,0.00020,500,,,,
427.5167,0.0020,10,,,,
427.55590,0.00020,700,,,,
427.8850,0.0020,50,,,,
427.9279,0.0020,150,,,,
428.3242,0.0020,100,,,,
428.8541,0.0020,50,,,,
428.9799,0.0020,20,,,,
429.1976,0.0020,20,,,,
429.1976,0.0020,20,,,,
429.1976,0.0020,20,,,,
430.3248,0.0020,300,,,,
430.3695,0.0020,10,,,,
430.3955,0.0020,50,,,,
430.62508,0.00020,700,,,,
431.0130,0.0020,20,,,,
431.4110,0.0020,10,,,,
431.4695,0.0020,300,,,,
431.6008,0.0020,150,,,,
431.8834,0.0020,50,,,,
431.9511,0.0020,10,,,,
432.1492,0.0020,20,,,,
432.7265,0.0020,100,,,,
433.41267,0.00004,700,,,,
433.62268,0.00020,500,,,,
433.8200,0.0020,20,,,,
434.0256,0.0020,20,,,,
434.0420,0.0020,20,,,,
434.5479,0.0020,20,,,,
434.5479,0.0020,20,,,,
434.5762,0.0020,10,,,,
434.6036,0.0020,150,,,,
435.7298,0.0020,20,,,,
435.7918,0.0020,50,,,,
435.8816,0.0020,20,,,,
436.2690,0.0020,300,,,,
436.3228,0.0020,20,,,,
436.35240,0.00010,700,,,,
436.5705,0.0020,10,,,,
437.1796,0.0020,20,,,,
437.2157,0.0020,300,,,,
437.4997,0.0020,20,,,,
437.4997,0.0020,20,,,,
437.7754,0.0020,20,,,,
437.7754,0.0020,20,,,,
438.12200,0.00010,300,,,,
439.4370,0.0020,150,,,,
439.4370,0.0020,150,,,,
439.4370,0.0020,150,,,,
439.4773,0.0020,150,,,,
439.5008,0.0020,10,,,,
439.5306,0.0020,10,,,,
439.55560,0.00010,500,,,,
439.5969,0.0020,10,,,,
439.7175,0.0020,10,,,,
439.8136,0.0020,50,,,,
440.2374,0.0020,20,,,,
440.2580,0.0020,10,,,,
440.2985,0.0020,10,,,,
440.5582,0.0020,20,,,,
440.9620,0.0020,200,,,,
441.2285,0.0020,200,,,,
441.3561,0.0020,150,,,,
441.5141,0.0020,50,,,,
441.6817,0.0020,500,,,,
442.0558,0.0020,10,,,,
442.15553,0.00020,500,,,,
442.25205,0.00004,3000,,,,
442.48065,0.00020,3000,,,,
442.54000,0.00010,1500,,,,
442.7755,0.0020,300,,,,
442.7981,0.0020,150,,,,
442.9410,0.0020,10,,,,
443.25166,0.00020,200,,,,
443.3398,0.0020,100,,,,
443.37239,0.00004,700,,,,
443.5094,0.0020,50,,,,
444.0363,0.0020,150,,,,
444.0363,0.0020,150,,,,
444.0812,0.0020,20,,,,
444.0890,0.0020,10,,,,
444.4978,0.0020,300,,,,
