element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Th,1,"=""400.00239""","=""0.00005""","=""32""","=""""",,"=""2""","=""1""",,
Th,1,"=""400.00413""","=""0.00004""","=""53""","=""""",,"=""5""","=""5""",,
Th,1,"=""400.028093""","=""0.000011""","=""1400""","=""""",,"=""4""","=""3""",,
Th,1,"=""400.044538""","=""0.000022""","=""180""","=""""",,"=""1""","=""2""",,
Th,1,"=""400.07489""","=""0.00003""","=""64""","=""""",,"=""2""","=""3""",,
Th,1,"=""400.105794""","=""0.000008""","=""3800""","=""""",,"=""4""","=""4""",,
Th,1,"=""400.11988""","=""0.00004""","=""60""","=""""",,"=""2""","=""2""",,
Th,1,"=""400.12277""","=""0.00005""","=""22""","=""""",,"=""6""","=""7""",,
Th,1,"=""400.189333""","=""0.000010""","=""1600""","=""""",,"=""2""","=""3""",,
Th,1,"=""400.19921""","=""0.00016""","=""100""","=""""",,"=""2""","=""2""",,
Th,1,"=""400.23763""","=""0.00005""","=""37""","=""""",,"=""2""","=""3""",,
Th,1,"=""400.33500""","=""0.00005""","=""21""","=""""",,"=""4""","=""4""",,
Th,1,"=""400.357385""","=""0.000013""","=""710""","=""""",,"=""4""","=""3""",,
Th,1,"=""400.36556""","=""0.00004""","=""60""","=""""",,"=""1""","=""2""",,
Th,1,"=""400.39931""","=""0.00016""","=""8""","=""""",,"=""4""","=""3""",,
Th,1,"=""400.42380""","=""0.00016""","=""16""","=""""",,"=""2""","=""2""",,
Th,1,"=""400.45601""","=""0.00016""","=""41""","=""""",,"=""3""","=""3""",,
Th,1,"=""400.46520""","=""0.00005""","=""22""","=""""",,"=""3""","=""3 or 4""",,
Th,1,"=""400.509270""","=""0.000008""","=""3000""","=""""",,"=""2""","=""1""",,
Th,1,"=""400.52986""","=""0.00005""","=""37""","=""""",,"=""2""","=""3""",,
Th,1,"=""400.552897""","=""0.000019""","=""270*""","=""""",,"=""3""","=""2""",,
Th,1,"=""400.557410""","=""0.000019""","=""250*""","=""""",,"=""3""","=""3""",,
Th,1,"=""400.596138""","=""0.000016""","=""420""","=""""",,"=""1""","=""1""",,
Th,1,"=""400.821005""","=""0.000005""","=""7800""","=""""",,"=""4""","=""5""",,
Th,1,"=""400.83120""","=""0.00016""","=""210""","=""""",,"=""2""","=""3""",,
Th,1,"=""400.84430""","=""0.00016""","=""21""","=""""",,"=""1""","=""2""",,
Th,1,"=""400.901106""","=""0.000011""","=""1200""","=""""",,"=""3""","=""4""",,
Th,1,"=""400.902742""","=""0.000024""","=""140""","=""""",,"=""5""","=""4""",,
Th,1,"=""400.905718""","=""0.000006""","=""4400""","=""""",,"=""5""","=""5""",,
Th,1,"=""400.972433""","=""0.000014""","=""580""","=""""",,"=""4""","=""3""",,
Th,1,"=""400.978265""","=""0.000021""","=""220""","=""""",,"=""4""","=""4""",,
Th,1,"=""400.981929""","=""0.000013""","=""690""","=""""",,"=""4""","=""5""",,
Th,1,"=""401.13145""","=""0.00005""","=""34""","=""""",,"=""2""","=""2""",,
Th,1,"=""401.135877""","=""0.000021""","=""220""","=""""",,"=""5""","=""4""",,
Th,1,"=""401.159148""","=""0.000010""","=""1600""","=""""",,"=""2""","=""3""",,
Th,1,"=""401.173971""","=""0.000008""","=""2900""","=""""",,"=""4""","=""4""",,
Th,1,"=""401.21915""","=""0.00003""","=""130""","=""""",,"=""2""","=""3""",,
Th,1,"=""401.249498""","=""0.000004""","=""9500""","=""""",,"=""3""","=""2""",,
Th,1,"=""401.26101""","=""0.00016""","=""54""","=""""",,"=""3""","=""3""",,
Th,1,"=""401.44717""","=""0.00005""","=""28""","=""""",,"=""4""","=""3""",,
Th,1,"=""401.471625""","=""0.000010""","=""1700""","=""""",,"=""2""","=""3""",,
Th,1,"=""401.57201""","=""0.00006""","=""15""","=""""",,"=""5""","=""5""",,
Th,1,"=""401.61128""","=""0.00003""","=""120""","=""""",,"=""5""","=""4""",,
Th,1,"=""401.664246""","=""0.000021""","=""200""","=""""",,"=""4""","=""4""",,
Th,1,"=""401.68961""","=""0.00016""","=""21""","=""""",,"=""1""","=""2""",,
Th,1,"=""401.706252""","=""0.000016""","=""440""","=""""",,"=""4""","=""5""",,
Th,1,"=""401.72581""","=""0.00003""","=""110""","=""""",,"=""3""","=""4""",,
Th,1,"=""401.74611""","=""0.00016""","=""17""","=""""",,"=""4""","=""4""",,
Th,1,"=""401.809888""","=""0.000011""","=""1200""","=""""",,"=""2""","=""2""",,
Th,1,"=""401.812130""","=""0.000016""","=""450""","=""""",,"=""2""","=""1""",,
Th,1,"=""401.83553""","=""0.00003""","=""74""","=""""",,"=""3""","=""3""",,
Th,1,"=""401.85088""","=""0.00005""","=""37""","=""""",,"=""2""","=""1""",,
Th,1,"=""401.89321""","=""0.00016""","=""53""","=""""",,"=""3""","=""3""",,
Th,1,"=""401.90111""","=""0.00005""","=""33""","=""""",,"=""1""","=""2""",,
Th,1,"=""401.94673""","=""0.00003""","=""98""","=""""",,"=""2""","=""3""",,
Th,1,"=""401.978731""","=""0.000019""","=""300""","=""""",,"=""6""","=""5""",,
Th,1,"=""401.986296""","=""0.000013""","=""680""","=""""",,"=""3""","=""2""",,
Th,1,"=""402.01819""","=""0.00005""","=""22""","=""""",,"=""4""","=""3""",,
Th,1,"=""402.035399""","=""0.000011""","=""980""","=""""",,"=""3""","=""3""",,
Th,1,"=""402.04629""","=""0.00005""","=""39""","=""""",,"=""2""","=""2""",,
Th,1,"=""402.060900""","=""0.000024""","=""140""","=""""",,"=""5""","=""6""",,
Th,1,"=""402.10079""","=""0.00005""","=""29""","=""""",,"=""3""","=""2""",,
Th,1,"=""402.114962""","=""0.000018""","=""310""","=""""",,"=""3""","=""4""",,
Th,1,"=""402.175047""","=""0.000018""","=""340""","=""""",,"=""5""","=""5""",,
Th,1,"=""402.19196""","=""0.00003""","=""86""","=""""",,"=""5""","=""6""",,
Th,1,"=""402.19421""","=""0.00003""","=""91""","=""""",,"=""2""","=""3""",,
Th,1,"=""402.206729""","=""0.000008""","=""2400""","=""""",,"=""2""","=""3""",,
Th,1,"=""402.27288""","=""0.00004""","=""42""","=""""",,"=""1""","=""2""",,
Th,1,"=""402.333768""","=""0.000013""","=""720""","=""""",,"=""3""","=""4""",,
Th,1,"=""402.45562""","=""0.00005""","=""38""","=""""",,"=""1""","=""2""",,
Th,1,"=""402.47150""","=""0.00005""","=""31*""","=""""",,"=""3""","=""3""",,
Th,1,"=""402.480232""","=""0.000010""","=""1900""","=""""",,"=""2""","=""1""",,
Th,1,"=""402.50030""","=""0.00003""","=""89""","=""""",,"=""6""","=""5 or 6""",,
Th,1,"=""402.57571""","=""0.00005""","=""23""","=""""",,"=""4""","=""4 or 5""",,
Th,1,"=""402.613265""","=""0.000015""","=""570""","=""""",,"=""3""","=""3 or 4""",,
Th,1,"=""402.66441""","=""0.00016""","=""9""","=""""",,"=""2""","=""3""",,
Th,1,"=""402.695520""","=""0.000018""","=""310""","=""""",,"=""5""","=""4""",,
Th,1,"=""402.700897""","=""0.000006""","=""4300""","=""""",,"=""2""","=""2""",,
Th,1,"=""402.74453""","=""0.00005""","=""24""","=""""",,"=""3""","=""4""",,
Th,1,"=""402.74860""","=""0.00018""","=""33""","=""""",,"=""2""","=""2""",,
Th,1,"=""402.754637""","=""0.000024""","=""170""","=""""",,"=""2""","=""2""",,
Th,1,"=""402.82897""","=""0.00003""","=""64""","=""""",,"=""3""","=""4""",,
Th,1,"=""402.833399""","=""0.000021""","=""230""","=""""",,"=""4""","=""4""",,
Th,1,"=""402.86293""","=""0.00005""","=""32*""","=""""",,"=""3""","=""4""",,
Th,1,"=""402.89595""","=""0.00004""","=""51""","=""""",,"=""5""","=""4 or 5""",,
Th,1,"=""402.965725""","=""0.000013""","=""890""","=""""",,"=""3""","=""3""",,
Th,1,"=""402.982543""","=""0.000010""","=""1500""","=""""",,"=""1""","=""2""",,
Th,1,"=""403.00778""","=""0.00005""","=""18""","=""""",,"=""3""","=""4""",,
Th,1,"=""403.02128""","=""0.00003""","=""67""","=""""",,"=""3""","=""2""",,
Th,1,"=""403.029236""","=""0.000010""","=""2100bl""","=""""",,"=""5""","=""6""",,
Th,1,"=""403.05894""","=""0.00005""","=""30""","=""""",,"=""4""","=""3""",,
Th,1,"=""403.084226""","=""0.000003""","=""15000""","=""""",,"=""3""","=""3""",,
Th,1,"=""403.107147""","=""0.000023""","=""170""","=""""",,"=""2""","=""1""",,
Th,1,"=""403.21979""","=""0.00005""","=""24""","=""""",,"=""2""","=""3""",,
Th,1,"=""403.23145""","=""0.00005""","=""35""","=""""",,"=""2""","=""3""",,
Th,1,"=""403.245300""","=""0.000010""","=""1800""","=""""",,"=""3""","=""4""",,
Th,1,"=""403.259500""","=""0.000008""","=""2300""","=""""",,"=""4""","=""3""",,
Th,1,"=""403.28927""","=""0.00005""","=""18*""","=""""",,"=""3""","=""3""",,
Th,1,"=""403.377547""","=""0.000011""","=""1000""","=""""",,"=""1""","=""1""",,
Th,1,"=""403.390676""","=""0.000010""","=""2000""","=""""",,"=""4""","=""3""",,
Th,1,"=""403.41524""","=""0.00004""","=""59""","=""""",,"=""6""","=""6 or 7""",,
Th,1,"=""403.487733""","=""0.000023""","=""200""","=""""",,"=""4""","=""4""",,
