obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
"=""400.455""","=""0.020""","=""10*""","=""""",,"=""2""","=""2""",,
"=""400.455""","=""0.020""","=""10*""","=""""",,"=""2""","=""3""",,
"=""407.88202""","=""0.00005""","=""100""","=""""",,"=""1""","=""0""",,
"=""410.97089""","=""0.00005""","=""60""","=""""",,"=""1""","=""2""",,
"=""411.61147""","=""0.00005""","=""80""","=""""",,"=""1""","=""1""",,
"=""412.355""","=""0.020""","=""10""","=""""",,"=""1""","=""2""",,
"=""413.5133""","=""0.0002""","=""20""","=""""",,"=""1""","=""2""",,
"=""414.6780""","=""0.0010""","=""2""","=""""",,"=""1""","=""1""",,
"=""417.517""","=""0.020""","=""6""","=""""",,"=""1""","=""2""",,
"=""419.3010""","=""0.0010""","=""20""","=""""",,"=""2""","=""2""",,
"=""419.3528""","=""0.0002""","=""150""","=""2.20e+05""",B,"=""2""","=""3""",,
"=""420.3695""","=""0.0002""","=""""","=""1.1e+05""",D+,"=""2""","=""2""",,
"=""420.5404""","=""0.0002""","=""10""","=""""",,"=""2""","=""1""",,
"=""423.503""","=""0.020""","=""15""","=""""",,"=""2""","=""3""",,
"=""427.916""","=""0.020""","=""2*""","=""""",,"=""2""","=""3""",,
"=""427.916""","=""0.020""","=""2*""","=""""",,"=""2""","=""2""",,
"=""435.459""","=""0.020""","=""6""","=""""",,"=""3""","=""4""",,
"=""437.2287""","=""0.0002""","=""20""","=""""",,"=""1""","=""2""",,
"=""438.3908""","=""0.0002""","=""100""","=""""",,"=""1""","=""2""",,
"=""438.5768""","=""0.0002""","=""70""","=""""",,"=""1""","=""1""",,
"=""450.0978""","=""0.0002""","=""""","=""1.46e+06""",C+,"=""2""","=""1""",,
"=""452.46805""","=""0.00005""","=""""","=""4.6e+05""",C+,"=""2""","=""2""",,
"=""454.399""","=""0.020""","=""6""","=""""",,"=""2""","=""3""",,
"=""458.27472""","=""0.00005""","=""""","=""1.3e+06""",C,"=""1""","=""0""",,
"=""461.18882""","=""0.00005""","=""100""","=""3.0e+04""",D,"=""2""","=""1""",,
"=""462.42756""","=""0.00005""","=""""","=""2.42e+06""",B,"=""2""","=""2""",,
"=""466.226""","=""0.020""","=""6""","=""""",,"=""1""","=""2""",,
